3Mii8C Contador de carga de horas amperios,Ah charged,22 1E 32 ,((A*(2^24))+(B*(2^16))+(C*(2^8))+D)/549.3164 ,0,100000,Ah ,7E5
3Mii8C Sensor de temperatura 4,T modulo  4,22 1E B1 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 5,T modulo  5,22 1E B2 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 6,T modulo  6,22 1E B3 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 7,T modulo  7,22 1E B4 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 8,T modulo  8,22 1E B5 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 9,T modulo  9,22 1E B6 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Suma de los voltajes de todas las celdas de la bateria.,Vbat SUMAceldas,22 1E 3C ,((A*(2^16))+(B*(2^8))+C)/4096 ,0,400,V ,7E5
3Mii8C Temperatura de la bateria,Tbat,22 2A 0B ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Temperatura medida mas alta,Tbat max,22 1E 0E ,D ,1,17,Indice,7E5
3Mii8C Temperatura modulo mas alto,Tmax modulo,22 1E 0E ,(A*256+B)/64,-20,60,C,7E5
3Mii8C Temperatura medida mas baja,Tbat min,22 1E 0F ,D ,1,17,Indice,7E5
3Mii8C Temperatura modulo mas baja,Tmin modulo,,(A*256+B)/64,-20,60,C,7E5
3Mii8C Voltaje de fuente de bloqueo de alto voltaje,V bloqueo HV,22 74 BA ,(A*256+B)/3276 ,0,100,V ,7E5
3Mii8C Voltaje de la bateria de alto voltaje,Vbat  ,22 1E 3B ,(A*256+B)/4 ,0,400,V ,7E5
3Mii8C Voltaje del detector de enclavamiento de alto voltaje,V enclavamiento HV,22 74 B9 ,(A*256+B)/3276 ,0,400,V ,7E5
3Mii8C Voltaje maximo de las celdas de la bateria,Vcel max,22 1E 33 ,(A*256+B)/4096  ,0,4.2,V ,7E5
3Mii8C Celda mas alta,Celda vmax,22 1E 33 ,D ,0,102,Indice,7E5
3Mii8C Voltaje minimo de las celdas de la bateria,Vcel min,22 1E 34 ,(A*256+B)/4096 ,0,4.2,V ,7E5
3Mii8C Celda mas baja,Celda Vmin,22 1E 34 ,D ,0,102,Indice,7E5
3Mii8C Voltaje negativo de la bateria de alto voltaje frente a los contactores,Vneg antes contactor,22 1E 35 ,Signed(A*256+B)/32 ,0,400,V ,7E5
3Mii8C Voltaje positivo de la bateria de alto voltaje detrás de los contactores de carga,Vpos despues contactor,22 1E 39 ,Signed(A*256+B)/16 ,0,400,V ,7E5
3Mii8C Voltaje positivo de la bateria de alto voltaje frente a los contactores,Vpos antes contactor,22 1E 36 ,(A*256+B)/32 ,0,400,V ,7E5
